"id_contrato","tipo_servicio","fecha_alta_contrato","estado_contrato","id_plan_actual","nombre_plan","rut_cliente","dv_rut","nombre_razon_social","tipo_cliente","comuna_nombre","email_contacto","id_factura","fecha_emision","monto_total_facturado","estado_factura","medio_pago","zona_red","promedio_latencia","total_horas_corte","cantidad_reclamos","tiene_reclamo_pendiente"
5002,fibra_residencial,"2019-02-22",activo,3,avanzado_500,5682115,1,cliente 2,residencial,temuco,cliente2@example.com,9001,"2023-01-05t00:00:00.000",24990,pagada,tarjeta,zona_temuco,50.526315789473685,5.859999999999999,2.0,1.0
5002,fibra_residencial,"2019-02-22",activo,3,avanzado_500,5682115,1,cliente 2,residencial,temuco,cliente2@example.com,9002,"2023-02-05t00:00:00.000",24990,vencida,null,zona_temuco,50.526315789473685,5.859999999999999,2.0,1.0
5002,fibra_residencial,"2019-02-22",activo,3,avanzado_500,5682115,1,cliente 2,residencial,temuco,cliente2@example.com,9003,"2023-03-05t00:00:00.000",24990,pagada,pat,zona_temuco,50.526315789473685,5.859999999999999,2.0,1.0
5002,fibra_residencial,"2019-02-22",activo,3,avanzado_500,5682115,1,cliente 2,residencial,temuco,cliente2@example.com,9004,"2023-04-05t00:00:00.000",24990,pagada,tarjeta,zona_temuco,50.526315789473685,5.859999999999999,2.0,1.0
5002,fibra_residencial,"2019-02-22",activo,3,avanzado_500,5682115,1,cliente 2,residencial,temuco,cliente2@example.com,9005,"2023-05-05t00:00:00.000",24990,pagada,transferencia,zona_temuco,50.526315789473685,5.859999999999999,2.0,1.0
5002,fibra_residencial,"2019-02-22",activo,3,avanzado_500,5682115,1,cliente 2,residencial,temuco,cliente2@example.com,9006,"2023-06-05t00:00:00.000",24990,pagada,tarjeta,zona_temuco,50.526315789473685,5.859999999999999,2.0,1.0
5002,fibra_residencial,"2019-02-22",activo,3,avanzado_500,5682115,1,cliente 2,residencial,temuco,cliente2@example.com,9007,"2023-07-05t00:00:00.000",24990,anulada,null,zona_temuco,50.526315789473685,5.859999999999999,2.0,1.0
5002,fibra_residencial,"2019-02-22",activo,3,avanzado_500,5682115,1,cliente 2,residencial,temuco,cliente2@example.com,9008,"2023-08-05t00:00:00.000",24990,impaga,null,zona_temuco,50.526315789473685,5.859999999999999,2.0,1.0
5002,fibra_residencial,"2019-02-22",activo,3,avanzado_500,5682115,1,cliente 2,residencial,temuco,cliente2@example.com,9009,"2023-09-05t00:00:00.000",24990,pagada,transferencia,zona_temuco,50.526315789473685,5.859999999999999,2.0,1.0
5002,fibra_residencial,"2019-02-22",activo,3,avanzado_500,5682115,1,cliente 2,residencial,temuco,cliente2@example.com,9010,"2023-10-05t00:00:00.000",24990,pagada,caja,zona_temuco,50.526315789473685,5.859999999999999,2.0,1.0
5002,fibra_residencial,"2019-02-22",activo,3,avanzado_500,5682115,1,cliente 2,residencial,temuco,cliente2@example.com,9011,"2023-11-05t00:00:00.000",24990,pagada,caja,zona_temuco,50.526315789473685,5.859999999999999,2.0,1.0
5002,fibra_residencial,"2019-02-22",activo,3,avanzado_500,5682115,1,cliente 2,residencial,temuco,cliente2@example.com,9012,"2023-12-05t00:00:00.000",24990,impaga,null,zona_temuco,50.526315789473685,5.859999999999999,2.0,1.0
5002,fibra_residencial,"2019-02-22",activo,3,avanzado_500,5682115,1,cliente 2,residencial,temuco,cliente2@example.com,9013,"2024-01-05t00:00:00.000",24990,pagada,tarjeta,zona_temuco,50.526315789473685,5.859999999999999,2.0,1.0
5002,fibra_residencial,"2019-02-22",activo,3,avanzado_500,5682115,1,cliente 2,residencial,temuco,cliente2@example.com,9014,"2024-02-05t00:00:00.000",24990,pagada,caja,zona_temuco,50.526315789473685,5.859999999999999,2.0,1.0
5002,fibra_residencial,"2019-02-22",activo,3,avanzado_500,5682115,1,cliente 2,residencial,temuco,cliente2@example.com,9015,"2024-03-05t00:00:00.000",24990,pagada,caja,zona_temuco,50.526315789473685,5.859999999999999,2.0,1.0
5002,fibra_residencial,"2019-02-22",activo,3,avanzado_500,5682115,1,cliente 2,residencial,temuco,cliente2@example.com,9016,"2024-04-05t00:00:00.000",24990,impaga,null,zona_temuco,50.526315789473685,5.859999999999999,2.0,1.0
